run_name,seed,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
360wd_mean_ws_1deg,1,76,Two-step,72.48958576649818,3414.9182239115034,False
360wd_mean_ws_1deg,1,77,Two-step,72.48958576649818,3464.433116411499,False
360wd_mean_ws_1deg,1,78,Two-step,72.49311950885934,3514.049175711494,False
360wd_mean_ws_1deg,1,79,Two-step,72.49558260390526,3566.2562815114943,False
360wd_mean_ws_1deg,1,80,Two-step,72.49558260390526,3620.945901911502,False
360wd_mean_ws_1deg,1,81,Two-step,72.49558260390526,3677.135824611498,False
360wd_mean_ws_1deg,1,82,Two-step,72.49558260390526,3729.9908046115015,False
360wd_mean_ws_1deg,1,83,Two-step,72.49558260390526,3784.186647311508,False
360wd_mean_ws_1deg,1,84,Two-step,72.49558260390526,3837.352687411505,False
360wd_mean_ws_1deg,1,85,Two-step,72.49558260390526,3889.3148250115046,False
360wd_mean_ws_1deg,1,86,Two-step,72.49558260390526,3938.552076111504,False
360wd_mean_ws_1deg,1,87,Two-step,72.49558260390526,3992.0369423115044,False
360wd_mean_ws_1deg,1,88,Two-step,72.49558260390526,4045.6396963114967,False
360wd_mean_ws_1deg,1,89,Two-step,72.49558260390526,4110.149372811502,False
360wd_mean_ws_1deg,1,90,Two-step,72.49558260390526,4163.649421811497,False
360wd_mean_ws_1deg,1,91,Two-step,72.49661571607065,4217.088662611495,False
360wd_mean_ws_1deg,1,92,Two-step,72.49661571607065,4271.877923911496,False
360wd_mean_ws_1deg,1,93,Two-step,72.49661571607065,4319.280044511499,False
360wd_mean_ws_1deg,1,94,Two-step,72.49661571607065,4367.344332511508,False
360wd_mean_ws_1deg,1,95,Two-step,72.49661571607065,4413.858502011499,False
360wd_mean_ws_1deg,1,96,Two-step,72.49661571607065,4460.430584111498,False
360wd_mean_ws_1deg,1,97,Two-step,72.50156557569,4506.361673211504,False
360wd_mean_ws_1deg,1,98,Two-step,72.50156557569,4553.916015711497,False
360wd_mean_ws_1deg,1,99,Two-step,72.50156557569,4601.053027611502,False
360wd_mean_ws_1deg,1,100,Two-step,72.50156557569,4646.978719211504,False
360wd_mean_ws_1deg,1,101,Two-step,72.50204982484335,4692.904348111508,False
360wd_mean_ws_1deg,1,102,Two-step,72.50204982484335,4738.348433911495,False
360wd_mean_ws_1deg,1,103,Two-step,72.50204982484335,4784.164677711495,False
360wd_mean_ws_1deg,1,104,Two-step,72.50204982484335,4830.187272311508,False
360wd_mean_ws_1deg,1,105,Two-step,72.50204982484335,4877.597062511501,False
360wd_mean_ws_1deg,1,106,Two-step,72.50204982484335,4925.832926911506,False
360wd_mean_ws_1deg,1,107,Two-step,72.50204982484335,4972.1847168115055,False
360wd_mean_ws_1deg,1,108,Two-step,72.50204982484335,5019.560628311505,False
360wd_mean_ws_1deg,1,109,Two-step,72.50204982484335,5067.794794611502,False
360wd_mean_ws_1deg,1,110,Two-step,72.50204982484335,5113.7434755114955,False
360wd_mean_ws_1deg,1,111,Two-step,72.50204982484335,5160.453404011496,False
360wd_mean_ws_1deg,1,112,Two-step,72.50204982484335,5207.856014811507,False
360wd_mean_ws_1deg,1,113,Two-step,72.50204982484335,5255.875031911506,False
360wd_mean_ws_1deg,1,114,Two-step,72.50204982484335,5302.126397811502,False
360wd_mean_ws_1deg,1,115,Two-step,72.50204982484335,5347.6376327114995,False
360wd_mean_ws_1deg,1,116,Two-step,72.50204982484335,5393.694600411502,False
360wd_mean_ws_1deg,1,117,Two-step,72.50204982484335,5439.460403111501,False
360wd_mean_ws_1deg,1,118,Two-step,72.50204982484335,5491.115235511505,False
360wd_mean_ws_1deg,1,119,Two-step,72.50204982484335,5539.647353211505,False
360wd_mean_ws_1deg,1,120,Two-step,72.50204982484335,5584.1199867115065,False
360wd_mean_ws_1deg,1,121,Two-step,72.50204982484335,5632.212285011497,False
360wd_mean_ws_1deg,1,122,Two-step,72.50204982484335,5681.937651611501,False
360wd_mean_ws_1deg,1,123,Two-step,72.50204982484335,5729.1560842115,False
360wd_mean_ws_1deg,1,124,Two-step,72.50204982484335,5777.680571211502,False
360wd_mean_ws_1deg,1,125,Two-step,72.50204982484335,5827.443043011503,False
360wd_mean_ws_1deg,1,126,Two-step,72.50204982484335,5878.219425711504,False
360wd_mean_ws_1deg,1,127,Two-step,72.50204982484335,5926.591436111499,False
360wd_mean_ws_1deg,1,128,Two-step,72.50204982484335,5974.071156111502,False
360wd_mean_ws_1deg,1,129,Two-step,72.50204982484335,6024.097794911504,False
360wd_mean_ws_1deg,1,130,Two-step,72.50204982484335,6082.557622511507,False
360wd_mean_ws_1deg,1,131,Two-step,72.50204982484335,6132.501318611496,False
360wd_mean_ws_1deg,1,132,Two-step,72.50204982484335,6180.936071911507,False
360wd_mean_ws_1deg,1,133,Two-step,72.50204982484335,6227.200620411502,False
360wd_mean_ws_1deg,1,134,Two-step,72.51162809593687,6275.2011094115005,False
360wd_mean_ws_1deg,1,135,Two-step,72.51162809593687,6321.5625292115,False
360wd_mean_ws_1deg,1,136,Two-step,72.51162809593687,6369.412530711503,False
360wd_mean_ws_1deg,1,137,Two-step,72.51162809593687,6418.371121511504,False
360wd_mean_ws_1deg,1,138,Two-step,72.51162809593687,6465.3568242115,False
360wd_mean_ws_1deg,1,139,Two-step,72.51162809593687,6512.521088711495,False
360wd_mean_ws_1deg,1,140,Two-step,72.51162809593687,6559.4006556115055,False
360wd_mean_ws_1deg,1,141,Two-step,72.51162809593687,6607.578145311505,False
360wd_mean_ws_1deg,1,142,Two-step,72.51162809593687,6654.503869511507,False
360wd_mean_ws_1deg,1,143,Two-step,72.51162809593687,6703.564740711503,False
360wd_mean_ws_1deg,1,144,Two-step,72.51162809593687,6743.796208211497,False
360wd_mean_ws_1deg,1,145,Two-step,72.51162809593687,6781.676109911496,False
360wd_mean_ws_1deg,1,146,Two-step,72.51162809593687,6820.629385911496,False
360wd_mean_ws_1deg,1,147,Two-step,72.51359485532431,6858.630837611505,False
360wd_mean_ws_1deg,1,148,Two-step,72.51359485532431,6896.641217111508,False
360wd_mean_ws_1deg,1,149,Two-step,72.51359485532431,6935.975718811489,False
360wd_mean_ws_1deg,1,150,Two-step,72.51359485532431,6973.96528701151,False
360wd_mean_ws_1deg,1,151,Two-step,72.51359485532431,7012.426653211514,False
360wd_mean_ws_1deg,1,152,Two-step,72.51359485532431,7050.867713311498,False
360wd_mean_ws_1deg,1,153,Two-step,72.51359485532431,7088.820238711502,False
360wd_mean_ws_1deg,1,154,Two-step,72.51359485532431,7127.763769311496,False
360wd_mean_ws_1deg,1,155,Two-step,72.51359485532431,7166.817136111509,False
360wd_mean_ws_1deg,1,156,Two-step,72.51359485532431,7209.6073080114875,False
360wd_mean_ws_1deg,1,157,Two-step,72.51359485532431,7251.982461311491,False
360wd_mean_ws_1deg,1,158,Two-step,72.51359485532431,7302.146661211489,False
360wd_mean_ws_1deg,1,159,Two-step,72.51399066082328,7359.357064011492,False
360wd_mean_ws_1deg,1,160,Two-step,72.51399066082328,7412.130563311497,False
180wd_mean_ws_2deg,1,0,SmartStart,72.07466818228632,117.54958319664001,False
180wd_mean_ws_2deg,1,1,Two-step,72.08844299071737,149.82536639663158,False
180wd_mean_ws_2deg,1,2,Two-step,72.08844299071737,183.2918069966545,False
180wd_mean_ws_2deg,1,3,Two-step,72.11406512237983,215.7840658966452,False
180wd_mean_ws_2deg,1,4,Two-step,72.11406512237983,248.19285199663136,False
180wd_mean_ws_2deg,1,5,Two-step,72.15006330124874,284.0090451966389,False
180wd_mean_ws_2deg,1,6,Two-step,72.15889789315605,322.23161079664715,False
180wd_mean_ws_2deg,1,7,Two-step,72.17202842569051,357.9429889966268,False
180wd_mean_ws_2deg,1,8,Two-step,72.1849589999401,394.6936265966506,False
180wd_mean_ws_2deg,1,9,Two-step,72.1849589999401,432.01929319664487,False
180wd_mean_ws_2deg,1,10,Two-step,72.20830772745074,469.31647999663255,False
180wd_mean_ws_2deg,1,11,Two-step,72.21032277751027,505.60358259663917,False
180wd_mean_ws_2deg,1,12,Two-step,72.22474685703132,542.8260714966455,False
180wd_mean_ws_2deg,1,13,Two-step,72.22474685703132,578.9735601966386,False
180wd_mean_ws_2deg,1,14,Two-step,72.24539752160267,617.0892638966325,False
180wd_mean_ws_2deg,1,15,Two-step,72.26366895675596,653.3048725966364,False
180wd_mean_ws_2deg,1,16,Two-step,72.26366895675596,688.9627051966381,False
180wd_mean_ws_2deg,1,17,Two-step,72.27695131443922,724.0442740966391,False
180wd_mean_ws_2deg,1,18,Two-step,72.30484940204394,758.8830760966521,False
180wd_mean_ws_2deg,1,19,Two-step,72.30484940204394,796.7494692966284,False
180wd_mean_ws_2deg,1,20,Two-step,72.30484940204394,835.2121651966299,False
180wd_mean_ws_2deg,1,21,Two-step,72.30498262013478,872.0465382966504,False
180wd_mean_ws_2deg,1,22,Two-step,72.31291759325507,906.979468396632,False
180wd_mean_ws_2deg,1,23,Two-step,72.32638594611717,945.9986557966331,False
180wd_mean_ws_2deg,1,24,Two-step,72.32944801916847,995.49558499665,False
180wd_mean_ws_2deg,1,25,Two-step,72.36234289834641,1037.5100273966382,False
180wd_mean_ws_2deg,1,26,Two-step,72.36321129854053,1078.4158739966515,False
180wd_mean_ws_2deg,1,27,Two-step,72.36623961091456,1123.6769956966455,False
180wd_mean_ws_2deg,1,28,Two-step,72.36623961091456,1160.6182088966307,False
180wd_mean_ws_2deg,1,29,Two-step,72.369629901167,1194.0496014966338,False
180wd_mean_ws_2deg,1,30,Two-step,72.369629901167,1237.9422603966377,False
180wd_mean_ws_2deg,1,31,Two-step,72.369629901167,1278.5923507966509,False
180wd_mean_ws_2deg,1,32,Two-step,72.3743868184545,1319.4411144966434,False
180wd_mean_ws_2deg,1,33,Two-step,72.3743868184545,1356.9845243966556,False
180wd_mean_ws_2deg,1,34,Two-step,72.3743868184545,1399.658089896635,False
180wd_mean_ws_2deg,1,35,Two-step,72.3743868184545,1440.6260348966462,False
180wd_mean_ws_2deg,1,36,Two-step,72.38759485711685,1480.014928296645,False
180wd_mean_ws_2deg,1,37,Two-step,72.38759485711685,1521.6936622966314,False
180wd_mean_ws_2deg,1,38,Two-step,72.38759485711685,1558.2900412966555,False
180wd_mean_ws_2deg,1,39,Two-step,72.38759485711685,1595.1190598966496,False
180wd_mean_ws_2deg,1,40,Two-step,72.38759485711685,1639.581380296644,False
180wd_mean_ws_2deg,1,41,Two-step,72.38759485711685,1686.8831140966504,False
180wd_mean_ws_2deg,1,42,Two-step,72.38759485711685,1730.9777636966319,False
180wd_mean_ws_2deg,1,43,Two-step,72.38759485711685,1771.9003119966364,False
180wd_mean_ws_2deg,1,44,Two-step,72.38759485711685,1812.8326896966319,False
180wd_mean_ws_2deg,1,45,Two-step,72.38759485711685,1855.8782110966276,False
180wd_mean_ws_2deg,1,46,Two-step,72.38759485711685,1894.190927296644,False
180wd_mean_ws_2deg,1,47,Two-step,72.38794976323604,1932.0875719966425,False
180wd_mean_ws_2deg,1,48,Two-step,72.39296138426016,1973.5229377966316,False
180wd_mean_ws_2deg,1,49,Two-step,72.39296138426016,2015.3045586966327,False
180wd_mean_ws_2deg,1,50,Two-step,72.39296138426016,2054.4858146966435,False
180wd_mean_ws_2deg,1,51,Two-step,72.39689399804895,2095.5455106966547,False
180wd_mean_ws_2deg,1,52,Two-step,72.39689399804895,2137.522450296645,False
180wd_mean_ws_2deg,1,53,Two-step,72.40895496235828,2177.2058888966276,False
180wd_mean_ws_2deg,1,54,Two-step,72.41092316369571,2220.630801796651,False
180wd_mean_ws_2deg,1,55,Two-step,72.42248713019237,2261.5593488966406,False
180wd_mean_ws_2deg,1,56,Two-step,72.42248713019237,2300.5047650966444,False
180wd_mean_ws_2deg,1,57,Two-step,72.42252427503158,2342.4236627966457,False
180wd_mean_ws_2deg,1,58,Two-step,72.42268896509265,2382.4715345966397,False
180wd_mean_ws_2deg,1,59,Two-step,72.42817089692386,2419.633222396631,False
180wd_mean_ws_2deg,1,60,Two-step,72.42817089692386,2455.0823378966306,False
180wd_mean_ws_2deg,1,61,Two-step,72.42817089692386,2489.5496234966267,False
180wd_mean_ws_2deg,1,62,Two-step,72.42817089692386,2524.7008740966558,False
180wd_mean_ws_2deg,1,63,Two-step,72.435243528088,2563.5149200966407,False
180wd_mean_ws_2deg,1,64,Two-step,72.435243528088,2598.2218504966295,False
180wd_mean_ws_2deg,1,65,Two-step,72.4418806700877,2636.918925496633,False
180wd_mean_ws_2deg,1,66,Two-step,72.4418806700877,2675.2838510966394,False
180wd_mean_ws_2deg,1,67,Two-step,72.4418806700877,2714.0756017966487,False
180wd_mean_ws_2deg,1,68,Two-step,72.4469175014797,2753.2559714966337,False
180wd_mean_ws_2deg,1,69,Two-step,72.45228530285263,2788.6184592966456,False
180wd_mean_ws_2deg,1,70,Two-step,72.45228530285263,2820.126935096632,False
180wd_mean_ws_2deg,1,71,Two-step,72.46870307798841,2849.8230444966466,False
180wd_mean_ws_2deg,1,72,Two-step,72.46870307798841,2878.2820484966505,False
180wd_mean_ws_2deg,1,73,Two-step,72.46870307798841,2908.0862386966473,False
180wd_mean_ws_2deg,1,74,Two-step,72.46870307798841,2937.213839996635,False
180wd_mean_ws_2deg,1,75,Two-step,72.47546656094575,2965.996956496645,False
180wd_mean_ws_2deg,1,76,Two-step,72.47987390734826,2994.636565596651,False
180wd_mean_ws_2deg,1,77,Two-step,72.47987390734826,3023.772321396653,False
180wd_mean_ws_2deg,1,78,Two-step,72.48293316315971,3053.785568096646,False
180wd_mean_ws_2deg,1,79,Two-step,72.48542775960091,3086.9457034966326,False
180wd_mean_ws_2deg,1,80,Two-step,72.48542775960091,3118.7955255966517,False
180wd_mean_ws_2deg,1,81,Two-step,72.48542775960091,3148.051448696642,False
180wd_mean_ws_2deg,1,82,Two-step,72.48542775960091,3177.1089039966464,False
180wd_mean_ws_2deg,1,83,Two-step,72.48542775960091,3206.254472596629,False
180wd_mean_ws_2deg,1,84,Two-step,72.48542775960091,3235.5542185966333,False
180wd_mean_ws_2deg,1,85,Two-step,72.48542775960091,3264.2047735966335,False
180wd_mean_ws_2deg,1,86,Two-step,72.48542775960091,3293.1520482966444,False
180wd_mean_ws_2deg,1,87,Two-step,72.48542775960091,3322.6427009966283,False
180wd_mean_ws_2deg,1,88,Two-step,72.48542775960091,3351.762027396646,False
180wd_mean_ws_2deg,1,89,Two-step,72.48542775960091,3380.48701819664,False
180wd_mean_ws_2deg,1,90,Two-step,72.48542775960091,3412.225049296627,False
180wd_mean_ws_2deg,1,91,Two-step,72.48660848286757,3441.720126096654,False
180wd_mean_ws_2deg,1,92,Two-step,72.48660848286757,3469.186132296629,False
180wd_mean_ws_2deg,1,93,Two-step,72.48660848286757,3496.8950591966277,False
180wd_mean_ws_2deg,1,94,Two-step,72.48660848286757,3526.5127984966384,False
180wd_mean_ws_2deg,1,95,Two-step,72.48660848286757,3554.753014096641,False
180wd_mean_ws_2deg,1,96,Two-step,72.48660848286757,3583.2540015966515,False
180wd_mean_ws_2deg,1,97,Two-step,72.49198026595681,3604.0264085966337,False
180wd_mean_ws_2deg,1,98,Two-step,72.49198026595681,3623.140247796633,False
180wd_mean_ws_2deg,1,99,Two-step,72.49198026595681,3642.108284096641,False
180wd_mean_ws_2deg,1,100,Two-step,72.49198026595681,3661.1666568966466,False
180wd_mean_ws_2deg,1,101,Two-step,72.49232363561583,3680.593048296636,False
180wd_mean_ws_2deg,1,102,Two-step,72.49232363561583,3699.46392219665,False
180wd_mean_ws_2deg,1,103,Two-step,72.49232363561583,3718.2196811966423,False
180wd_mean_ws_2deg,1,104,Two-step,72.49232363561583,3736.637561096635,False
180wd_mean_ws_2deg,1,105,Two-step,72.49232363561583,3755.3133012966427,False
180wd_mean_ws_2deg,1,106,Two-step,72.49232363561583,3773.804564496648,False
180wd_mean_ws_2deg,1,107,Two-step,72.49232363561583,3792.622035296634,False
180wd_mean_ws_2deg,1,108,Two-step,72.49232363561583,3811.1289099966525,False
180wd_mean_ws_2deg,1,109,Two-step,72.49232363561583,3829.3659810966346,False
180wd_mean_ws_2deg,1,110,Two-step,72.49232363561583,3847.4097811966494,False
180wd_mean_ws_2deg,1,111,Two-step,72.49232363561583,3865.8700123966555,False
180wd_mean_ws_2deg,1,112,Two-step,72.49232363561583,3883.8899043966376,False
180wd_mean_ws_2deg,1,113,Two-step,72.49232363561583,3902.8840912966407,False
180wd_mean_ws_2deg,1,114,Two-step,72.49232363561583,3920.6043872966547,False
180wd_mean_ws_2deg,1,115,Two-step,72.49232363561583,3938.4621412966517,False
180wd_mean_ws_2deg,1,116,Two-step,72.49232363561583,3956.1213858966366,False
180wd_mean_ws_2deg,1,117,Two-step,72.49232363561583,3973.6449721966346,False
180wd_mean_ws_2deg,1,118,Two-step,72.49232363561583,3991.0735214966408,False
180wd_mean_ws_2deg,1,119,Two-step,72.49232363561583,4009.33233399663,False
180wd_mean_ws_2deg,1,120,Two-step,72.49232363561583,4027.3465610966377,False
180wd_mean_ws_2deg,1,121,Two-step,72.49232363561583,4045.33393429665,False
180wd_mean_ws_2deg,1,122,Two-step,72.49232363561583,4063.560074396635,False
180wd_mean_ws_2deg,1,123,Two-step,72.49232363561583,4081.144376496639,False
180wd_mean_ws_2deg,1,124,Two-step,72.49232363561583,4099.183496696642,False
180wd_mean_ws_2deg,1,125,Two-step,72.49232363561583,4117.473999196634,False
180wd_mean_ws_2deg,1,126,Two-step,72.49232363561583,4135.626000496646,False
180wd_mean_ws_2deg,1,127,Two-step,72.49232363561583,4152.846315796633,False
180wd_mean_ws_2deg,1,128,Two-step,72.49232363561583,4170.214362796629,False
180wd_mean_ws_2deg,1,129,Two-step,72.49232363561583,4187.674968096631,False
180wd_mean_ws_2deg,1,130,Two-step,72.49232363561583,4204.887852096639,False
180wd_mean_ws_2deg,1,131,Two-step,72.49232363561583,4222.755761396635,False
180wd_mean_ws_2deg,1,132,Two-step,72.49232363561583,4240.283473396645,False
180wd_mean_ws_2deg,1,133,Two-step,72.49232363561583,4257.584354296647,False
180wd_mean_ws_2deg,1,134,Two-step,72.50176167137357,4275.034071096656,False
180wd_mean_ws_2deg,1,135,Two-step,72.50176167137357,4291.945951096655,False
180wd_mean_ws_2deg,1,136,Two-step,72.50176167137357,4309.376627396647,False
180wd_mean_ws_2deg,1,137,Two-step,72.50176167137357,4326.5106514966465,False
180wd_mean_ws_2deg,1,138,Two-step,72.50176167137357,4344.153541496635,False
180wd_mean_ws_2deg,1,139,Two-step,72.50176167137357,4361.557664396649,False
180wd_mean_ws_2deg,1,140,Two-step,72.50176167137357,4378.849794096634,False
180wd_mean_ws_2deg,1,141,Two-step,72.50176167137357,4396.5547042966355,False
180wd_mean_ws_2deg,1,142,Two-step,72.50176167137357,4414.330647796654,False
180wd_mean_ws_2deg,1,143,Two-step,72.50176167137357,4432.561633496633,False
180wd_mean_ws_2deg,1,144,Two-step,72.50176167137357,4450.6588978966465,False
180wd_mean_ws_2deg,1,145,Two-step,72.50176167137357,4468.683086896635,False
180wd_mean_ws_2deg,1,146,Two-step,72.50176167137357,4486.967081396637,False
180wd_mean_ws_2deg,1,147,Two-step,72.5041745176745,4504.53346759663,False
180wd_mean_ws_2deg,1,148,Two-step,72.5041745176745,4522.420351896639,False
180wd_mean_ws_2deg,1,149,Two-step,72.5041745176745,4540.498913696647,False
180wd_mean_ws_2deg,1,150,Two-step,72.5041745176745,4558.69411689663,False
180wd_mean_ws_2deg,1,151,Two-step,72.5041745176745,4576.935662596632,False
180wd_mean_ws_2deg,1,152,Two-step,72.5041745176745,4594.722813596629,False
180wd_mean_ws_2deg,1,153,Two-step,72.5041745176745,4612.160535596631,False
180wd_mean_ws_2deg,1,154,Two-step,72.5041745176745,4629.850460996648,False
180wd_mean_ws_2deg,1,155,Two-step,72.5041745176745,4647.414246596629,False
180wd_mean_ws_2deg,1,156,Two-step,72.5041745176745,4664.763841596636,False
180wd_mean_ws_2deg,1,157,Two-step,72.5041745176745,4682.48860189665,False
180wd_mean_ws_2deg,1,158,Two-step,72.5041745176745,4701.148233896645,False
180wd_mean_ws_2deg,1,159,Two-step,72.50447172846955,4719.075727096642,False
180wd_mean_ws_2deg,1,160,Two-step,72.50447172846955,4737.335852196644,False
72wd_mean_ws,1,0,SmartStart,72.07557912464478,69.07025623321533,False
72wd_mean_ws,1,1,Two-step,72.09105249927136,81.87291303320671,False
72wd_mean_ws,1,2,Two-step,72.09105249927136,96.39744143321877,False
72wd_mean_ws,1,3,Two-step,72.11618377526239,111.33895993320039,False
72wd_mean_ws,1,4,Two-step,72.11618377526239,126.189032133203,False
72wd_mean_ws,1,5,Two-step,72.15151963583443,150.08775083321962,False
72wd_mean_ws,1,6,Two-step,72.15958260787238,164.4154800332035,False
72wd_mean_ws,1,7,Two-step,72.17157508558236,177.62667873321334,False
72wd_mean_ws,1,8,Two-step,72.18305637634629,190.81653253320837,False
72wd_mean_ws,1,9,Two-step,72.18305637634629,202.81081883321167,False
72wd_mean_ws,1,10,Two-step,72.20714278189973,215.90699233321357,False
72wd_mean_ws,1,11,Two-step,72.21024963147161,231.25827423320152,False
72wd_mean_ws,1,12,Two-step,72.22634196527292,244.99271573321312,False
72wd_mean_ws,1,13,Two-step,72.22634196527292,259.08258293321705,False
72wd_mean_ws,1,14,Two-step,72.24621953911786,273.0800801332225,False
